Course Name,Duration,Category,Day,Priority,Description,Link
What is WebLife? + CEO/Founder Video,5 min,Culture/Values,Day 01,HIGH,"Introduction to WebLife's mission, values, and culture with welcome message from the CEO and founder.",https://www.yahoo.com
Hubstaff TRAINING ,55 min,Tools/Systems,Day 01,HIGH,"Install Hubstaff, login, start tracking time immediately. Essential for tracking your work hours from day one.",https://www.yahoo.com
ClickUp Essentials - Tasks & Meetings,30 min,Tools/Systems,Day 01,HIGH,"Learn to login, find your tasks, mark them complete, add comments, and understand basic meeting workflows.",https://www.yahoo.com
Radical Candor,30 min,Culture/Values,Day 01,HIGH,Care personally while challenging directly. Learn to give and receive honest feedback that builds trust and drives results.,https://www.yahoo.com
Growth Mindset,30 min,Culture/Values,Day 01,HIGH,Embrace challenges as opportunities to learn. Understand fixed vs growth mindset and how it drives success at WebLife.,https://www.yahoo.com
Extreme Ownership,30 min,Culture/Values,Day 01,HIGH,Take full responsibility for outcomes. Learn core principles of ownership and how to apply them in your role.,https://www.yahoo.com
Google Workspace + Gemini AI,45 min,AI/Technology,Day 01,HIGH,"Master Gmail, Google Docs, Sheets, Drive, and learn to use Gemini AI to enhance productivity across all Google tools.",https://www.yahoo.com
Daily Recap,30 min,Workflow/Process,Day 01,HIGH,Complete training on Daily Recap.,https://www.yahoo.com
Close of the Day,15 min,Workflow/Process,Day 01,Medium,Complete training on Close of the Day.,https://www.yahoo.com
Team Connection: Roam + The Square,30 min,Planning/Connection,Day 01,HIGH,Connect with your team using Roam for async communication and The Square for team updates and culture.,https://www.yahoo.com
ChatGPT & AI Framework,60 min,AI/Technology,Day 01,HIGH,"Complete AI training covering ChatGPT usage, prompt engineering, and WebLife's AI framework for daily work.",https://www.yahoo.com
Bonusly,15 min,Planning/Connection,Day 01,Low,Recognize and celebrate teammates' contributions using Bonusly points and build a culture of appreciation.,https://www.yahoo.com
Google Calendar & Meeting Framework,60 min,Workflow/Process,Day 01,HIGH,"Comprehensive meeting system covering Google Calendar, ClickUp meeting integration, and Google Meet best practices.",https://www.yahoo.com
Mastering Feedback,30 min,Culture/Values,Day 02,Medium,Give and receive feedback effectively. Covers both receiving feedback gracefully and applying it for growth.,https://www.yahoo.com
ClickUp Deep Dive,50 min,Tools/Systems,Day 02,HIGH,"Advanced ClickUp training: Spaces, Folders, Lists hierarchy, dependencies, automations, custom fields, and advanced features.",https://www.yahoo.com
Evaluation Training,30 min,Workflow/Process,Day 02,HIGH,"Understand WebLife's evaluation process, where evaluations live in ClickUp, how to prepare, and what to expect.",https://www.yahoo.com
Excellence Uncompromised,30 min,Culture/Values,Day 02,HIGH,Commit to the highest standards in everything you do. Understand what excellence looks like in your role.,https://www.yahoo.com
AI for Prompting,15 min,AI/Technology,Day 02,HIGH,"Advanced prompting techniques beyond the basics: few-shot learning, role-based prompts, and retrieval strategies.",https://www.yahoo.com
"Not by Fear, But by Encouragement",30 min,Culture/Values,Day 02,HIGH,Lead and motivate through positive reinforcement rather than fear. Build psychological safety in your team.,https://www.yahoo.com
Managing Up,30 min,Culture/Values,Day 02,HIGH,"Work effectively with leadership. Communication strategies, setting expectations, asking for help, and building trust upward.",https://www.yahoo.com
Unyielding Drive,30 min,Culture/Values,Day 02,HIGH,Maintain relentless pursuit of excellence and goals. Learn how WebLife defines and rewards persistent effort.,https://www.yahoo.com
All Hands Meeting,75 min,Culture/Values,Day 02,Medium,Complete training on All Hands Meeting.,https://www.yahoo.com
Company Websites Exploration,20 min,Planning/Connection,Day 02,Low,Tour WebLife's portfolio of websites and ventures to understand the ecosystem you are joining.,https://www.yahoo.com
Dashlane,20 min,Tools/Systems,Day 02,Low,"Securely manage passwords and credentials using Dashlane. Setup, organization, and security best practices.",https://www.yahoo.com
Gamma,30 min,Tools/Systems,Day 02,Low,Create beautiful presentations and documents quickly using Gamma's AI-powered design tools.,https://www.yahoo.com
EOS System,30 min,Culture/Values,Day 02,HIGH,"Learn the Entrepreneurial Operating System (EOS) framework WebLife uses: Rocks, Scorecards, Issues Lists, and meeting rhythms.",https://www.yahoo.com
US Worker Overview,40 min,Planning/Connection,Day 03,Medium,"For US-based team: benefits, legal requirements, expectations, policies, and US-specific operational details.",https://www.yahoo.com
Venture-Specific Deep Dive,90 min,Planning/Connection,Day 03,Medium,"Deep dive into your specific venture: product knowledge, customer base, workflows, tools, and team structure.",https://www.yahoo.com
Connect with Team Members on Roam,30 min,Planning/Connection,Day 03,Medium,Reach out to 1-2 team members asynchronously on Roam to build relationships and ask questions.,https://www.yahoo.com
30-60-90 Plan,45 min,Planning/Connection,Day 03,Medium,Create your roadmap for the first 90 days with specific goals and milestones for each 30-day period.,https://www.yahoo.com
Final Day Wrap-Up,10 min,Workflow/Process,Day 03,Low,"Celebrate completion of onboarding, address final questions, and outline expectations for Week 2 and beyond.",https://www.yahoo.com
Write Final Daily Recap + Reflection,45 min,Workflow/Process,Day 03,Low,"Final recap with reflection prompts on your onboarding experience: what you learned, questions remaining, and next steps.",https://www.yahoo.com
International Worker Overview,40 min,TBD,TBD,Medium,"For international team: legal requirements, payment processes, time zones, communication expectations, and cultural considerations.",https://www.yahoo.com
Course Overview & Zoho Learn,10 min,TBD,TBD,HIGH,Complete training on Course Overview & Zoho Learn.,https://www.yahoo.com
WebLife Labs Overview,40 min,TBD,TBD,Medium,"For Labs team members: understand the Labs mission, projects, tech stack, and how Labs fits into WebLife.",https://www.yahoo.com
Department Meeting #1 & #2,75 min each,TBD,TBD,Medium,"Watch the two most recent department meetings to understand team dynamics, priorities, and ongoing projects.",https://www.yahoo.com
Course Name,New Duration,TBD,TBD,Priority,Complete training on Course Name.,https://www.yahoo.com
